posicion,etiqueta
1010010101,3.05577E+19
1010010102,3.05577E+19
1010010201,3.05577E+19
1010010202,3.05577E+19
1010010301,3.05577E+19
1010010302,3.05577E+19
1010010401,3.05577E+19
1010010402,3.05577E+19
1010010501,3.05577E+19
1010010502,3.05577E+19
1010010601,3.05577E+19
1010010602,3.05577E+19
1010010701,3.05577E+19
1010010702,3.05577E+19
1010010801,3.05577E+19
1010010802,3.05577E+19
1010020101,3.05577E+19
1010020102,3.05577E+19
1010020201,3.05577E+19
1010020202,3.05577E+19
1010020301,3.05577E+19
1010020302,3.05577E+19
1010020401,3.05577E+19
1010020402,3.05577E+19
1010020501,3.05577E+19
1010020502,3.05577E+19
1010020601,3.05577E+19
1010020602,3.05577E+19
1010020701,3.05577E+19
1010020702,3.05577E+19
1010020801,3.05577E+19
1010020802,3.05577E+19
1010030101,
1010030102,3.05577E+19
1010030201,3.05577E+19
1010030202,3.05577E+19
1010030301,3.05577E+19
1010030302,3.05577E+19
1010030401,3.05577E+19
1010030402,3.05577E+19
1010030501,3.05577E+19
1010030502,3.05577E+19
1010030601,3.05577E+19
1010030602,3.05577E+19
1010030701,3.05577E+19
1010030702,3.05577E+19
1010030801,3.05577E+19
1010030802,3.05577E+19
1010040101,
1010040102,3.05577E+19
1010040201,
1010040202,3.05577E+19
1010040301,
1010040302,3.05577E+19
1010040401,3.05577E+19
1010040402,3.05577E+19
1010040501,3.05577E+19
1010040502,3.05577E+19
1010040601,3.05577E+19
1010040602,3.05577E+19
1010040701,
1010040702,3.05577E+19
1010040801,3.05577E+19
1010040802,3.05577E+19
1010050101,
1010050102,
1010050201,
1010050202,
1010050301,
1010050302,3.05577E+19
1010050401,
1010050402,3.05577E+19
1010050501,3.05577E+19
1010050502,3.05577E+19
1010050601,3.05577E+19
1010050602,3.05577E+19
1010050701,
1010050702,3.05577E+19
1010050801,
1010050802,3.05577E+19
1010060101,
1010060102,
1010060201,
1010060202,
1010060301,
1010060302,
1010060401,
1010060402,3.05577E+19
1010060501,
1010060502,3.05577E+19
1010060601,
1010060602,3.05577E+19
1010060701,
1010060702,
1010060801,
1010060802,
1010070101,
1010070102,
1010070201,
1010070202,
1010070301,
1010070302,
1010070401,
1010070402,
1010070501,
1010070502,3.05577E+19
1010070601,
1010070602,
1010070701,
1010070702,
1010070801,
1010070802,
1010080101,
1010080102,
1010080201,
1010080202,
1010080301,
1010080302,
1010080401,
1010080402,
1010080501,
1010080502,
1010080601,
1010080602,
1010080701,
1010080702,
1010080801,
1010080802,
1010090101,
1010090102,
1010090201,
1010090202,
1010090301,
1010090302,
1010090401,
1010090402,3.05577E+19
1010090501,
1010090502,
1010090601,
1010090602,
1010090701,
1010090702,
1010090801,
1010090802,
1010100101,
1010100102,3.05577E+19
1010100201,
1010100202,
1010100301,
1010100302,
1010100401,
1010100402,
1010100501,
1010100502,
1010100601,
1010100602,
1010100701,
1010100702,3.05577E+19
1010100801,
1010100802,
1010110101,
1010110102,
1010110201,
1010110202,
1010110301,
1010110302,
1010110401,
1010110402,
1010110501,
1010110502,
1010110601,
1010110602,
1010110701,
1010110702,
1010110801,
1010110802,
1010120101,
1010120102,
1010120201,
1010120202,
1010120301,
1010120302,
1010120401,
1010120402,
1010120501,
1010120502,
1010120601,
1010120602,
1010120701,
1010120702,
1010120801,
1010120802,
1010130101,
1010130102,
1010130201,
1010130202,3.05577E+19
1010130301,
1010130302,
1010130401,
1010130402,
1010130501,
1010130502,
1010130601,
1010130602,
1010130701,
1010130702,
1010130801,
1010130802,
1010140101,
1010140102,
1010140201,
1010140202,
1010140301,
1010140302,
1010140401,
1010140402,
1010140501,
1010140502,
1010140601,
1010140602,
1010140701,
1010140702,
1010140801,
1010140802,
1010150101,
1010150102,
1010150201,
1010150202,3.05577E+19
1010150301,
1010150302,
1010150401,
1010150402,3.05577E+19
1010150501,
1010150502,
1010150601,
1010150602,
1010150701,
1010150702,
1010150801,
1010150802,
1010160101,
1010160102,
1010160201,
1010160202,3.05577E+19
1010160301,
1010160302,
1010160401,
1010160402,
1010160501,
1010160502,
1010160601,
1010160602,
1010160701,
1010160702,
1010160801,
1010160802,3.05577E+19
1010170101,
1010170102,
1010170201,
1010170202,
1010170301,
1010170302,
1010170401,
1010170402,
1010170501,
1010170502,
1010170601,
1010170602,
1010170701,
1010170702,
1010170801,
1010170802,3.05577E+19
1010180101,
1010180102,
1010180201,
1010180202,
1010180301,
1010180302,
1010180401,
1010180402,
1010180501,
1010180502,
1010180601,
1010180602,
1010180701,
1010180702,
1010180801,
1010180802,
1010190101,
1010190102,3.05577E+19
1010190201,
1010190202,
1010190301,
1010190302,
1010190401,
1010190402,
1010190501,
1010190502,
1010190601,
1010190602,
1010190701,
1010190702,
1010190801,
1010190802,
1010200101,
1010200102,3.05577E+19
1010200201,
1010200202,
1010200301,
1010200302,
1010200401,
1010200402,
1010200501,
